"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1062","TC003 - Verify Login Successfully with Valid Credentials","root.tests","Mon Nov 24 11:51:28 ICT 2025","passed","Mon Nov 24 11:51:29 ICT 2025","TestLogin","test_login","",""
"","307","TC013 - Login Performance Should Be < 5 Seconds","root.tests","Mon Nov 24 11:53:07 ICT 2025","passed","Mon Nov 24 11:53:07 ICT 2025","TestLogin","test_login","",""
"","1455","TC012 - Verify Logout Functionality","root.tests","Mon Nov 24 11:52:56 ICT 2025","passed","Mon Nov 24 11:52:58 ICT 2025","TestLogin","test_login","",""
"","890","TC011 - Login Using ENTER Key","root.tests","Mon Nov 24 11:52:45 ICT 2025","passed","Mon Nov 24 11:52:46 ICT 2025","TestLogin","test_login","",""
"","428","TC010 - Verify Show/Hide password works correctly","root.tests","Mon Nov 24 11:52:36 ICT 2025","passed","Mon Nov 24 11:52:36 ICT 2025","TestLogin","test_login","",""
"","33","TC002 - Verify Placeholder Texts","root.tests","Mon Nov 24 11:51:19 ICT 2025","passed","Mon Nov 24 11:51:19 ICT 2025","TestLogin","test_login","",""
"","814","TC004 - Verify Login Unsuccessfully with Invalid Credentials","root.tests","Mon Nov 24 11:51:38 ICT 2025","passed","Mon Nov 24 11:51:39 ICT 2025","TestLogin","test_login","",""
"","306","TC006 - Verify login with invalid email format valid password","root.tests","Mon Nov 24 11:51:58 ICT 2025","passed","Mon Nov 24 11:51:59 ICT 2025","TestLogin","test_login","",""
"","333","TC007 - Verify login with blank fields","root.tests","Mon Nov 24 11:52:08 ICT 2025","passed","Mon Nov 24 11:52:08 ICT 2025","TestLogin","test_login","",""
"","268","TC008 - Verify Email Only Filled → Login Should Fail","root.tests","Mon Nov 24 11:52:17 ICT 2025","passed","Mon Nov 24 11:52:17 ICT 2025","TestLogin","test_login","",""
"","64","TC001 - Verify Login Page UI Elements","root.tests","Mon Nov 24 11:51:10 ICT 2025","passed","Mon Nov 24 11:51:10 ICT 2025","TestLogin","test_login","",""
"","812","TC005 - Verify login with valid email - invalid password","root.tests","Mon Nov 24 11:51:48 ICT 2025","passed","Mon Nov 24 11:51:49 ICT 2025","TestLogin","test_login","",""
"","269","TC009 - Password Only Filled → Login Should Fail","root.tests","Mon Nov 24 11:52:26 ICT 2025","passed","Mon Nov 24 11:52:27 ICT 2025","TestLogin","test_login","",""
